,city,lat,lng,Cloudiness,Country,Date,Humidity,Windspeed,Max temp
0,Punta Arenas,-53.16,-70.91,75,CL,1566659990,100,2.6,6.0
1,Lubao,-5.39,25.75,27,CD,1566659991,17,1.87,35.52
2,Butaritari,3.07,172.79,56,KI,1566659991,73,2.62,28.72
3,Kassala,15.45,36.38,61,SD,1566659744,49,3.31,31.52
4,Carnarvon,-30.97,22.13,0,ZA,1566659939,12,8.75,24.12
5,New Norfolk,-42.78,147.06,75,AU,1566659967,70,8.2,7.0
6,Mandan,46.83,-100.89,90,US,1566659855,88,5.1,21.67
7,Avarua,-21.21,-159.78,15,CK,1566659992,88,1.0,21.0
8,Busselton,-33.64,115.35,100,AU,1566659992,57,6.78,10.0
9,Paamiut,61.99,-49.67,0,GL,1566660151,64,2.79,5.32
10,Ottawa,45.42,-75.69,75,CA,1566660018,63,5.7,20.56
11,Ushuaia,-54.81,-68.31,40,AR,1566659993,65,1.5,8.0
12,Rikitea,-23.12,-134.97,100,PF,1566659993,71,9.13,20.62
13,Puerto Ayora,-0.74,-90.35,40,EC,1566659993,69,4.6,24.0
14,Belmonte,40.36,-7.35,66,PT,1566660006,35,3.58,37.22
15,Mataura,-46.19,168.86,97,NZ,1566659967,82,1.34,6.67
16,Barrow,-38.31,-60.23,100,AR,1566659994,55,6.39,15.52
17,Albany,42.65,-73.75,40,US,1566659923,60,4.1,21.11
18,Molteno,-31.4,26.36,0,ZA,1566659994,9,7.52,22.42
19,Buala,-8.15,159.59,100,SB,1566660009,83,4.94,26.52
20,East London,-33.02,27.91,0,ZA,1566659995,44,1.5,24.0
21,Castro,-42.48,-73.76,90,CL,1566659995,87,4.1,9.0
22,Cape Town,-33.93,18.42,0,ZA,1566659866,32,8.2,21.11
23,Souillac,45.6,-0.6,0,FR,1566659995,24,2.6,35.56
24,Batagay,67.65,134.64,9,RU,1566659996,66,0.92,12.52
25,Tuktoyaktuk,69.44,-133.03,75,CA,1566659996,75,6.7,2.0
26,Bambous Virieux,-20.34,57.76,75,MU,1566659985,78,6.7,22.0
27,Kodiak,39.95,-94.76,90,US,1566660012,77,3.1,22.22
28,Klaksvik,62.23,-6.59,94,FO,1566659996,100,5.1,11.0
29,Lavrentiya,65.58,-170.99,77,RU,1566660154,88,1.93,4.72
30,Faya,18.39,42.45,75,SA,1566659997,36,2.1,25.0
31,Nikolskoye,59.7,30.79,75,RU,1566659997,59,8.0,18.33
32,Saint-Philippe,45.36,-73.48,90,CA,1566659997,77,3.44,20.0
33,Fort Nelson,58.81,-122.69,75,CA,1566659997,93,0.3,7.0
34,Namibe,-15.19,12.15,75,AO,1566659997,73,5.1,22.0
35,Bredasdorp,-34.53,20.04,0,ZA,1566659998,56,3.1,22.0
36,Tautira,-17.73,-149.15,0,PF,1566659807,83,1.5,22.0
37,La Tuque,47.44,-72.79,0,CA,1566659998,47,3.31,17.82
38,Pacific Grove,36.62,-121.92,90,US,1566659865,77,0.96,18.89
39,Ranong,9.96,98.62,100,TH,1566659999,74,8.43,28.12
40,San Carlos de Bariloche,-41.13,-71.31,75,AR,1566659999,53,8.7,10.0
41,Cherskiy,68.75,161.3,3,RU,1566659999,51,2.12,11.82
42,Awbari,26.59,12.77,0,LY,1566659999,11,5.01,37.62
43,Mount Isa,-20.73,139.49,0,AU,1566660156,30,2.1,12.0
44,Sitka,37.17,-99.65,56,US,1566660000,85,4.92,22.22
45,Pevek,69.7,170.27,47,RU,1566660156,79,0.57,5.52
46,Fukue,35.03,136.69,75,JP,1566660000,74,7.7,26.0
47,Bathsheba,13.22,-59.52,75,BB,1566660009,70,7.2,31.0
48,Bluff,-23.58,149.07,0,AU,1566660001,82,3.06,12.82
49,Bubaque,11.28,-15.83,48,GW,1566659886,82,8.68,26.52
50,Ericeira,38.96,-9.42,0,PT,1566660001,35,8.2,32.0
51,Arman,59.7,150.17,99,RU,1566660157,97,1.38,10.02
52,Jamestown,-33.21,138.6,0,AU,1566660001,94,2.3,4.32
53,Saldanha,41.42,-6.55,91,PT,1566660001,18,3.66,34.52
54,Baoning,25.34,110.03,20,CN,1566660002,70,2.0,30.0
55,Pokhara,28.21,83.99,99,NP,1566659895,98,0.75,14.12
56,Praia,-20.25,-43.81,20,BR,1566659860,49,3.1,23.0
57,Chuy,-33.69,-53.46,38,UY,1566660002,71,2.5,12.82
58,Lasa,34.92,32.53,20,CY,1566660003,74,5.1,31.0
59,Karratha,-20.74,116.85,0,AU,1566660003,78,3.93,18.42
60,Port Alfred,-33.59,26.89,0,ZA,1566660003,82,1.28,20.56
61,Bereda,43.27,-7.54,20,ES,1566660003,64,4.1,29.44
62,Canton,40.8,-81.38,1,US,1566660004,56,4.1,22.0
63,Phagwara,31.22,75.77,0,IN,1566660004,56,2.67,30.02
64,Matagami,9.67,8.4,100,NG,1566660004,94,1.9,22.22
65,Port Lincoln,-34.72,135.86,42,AU,1566660005,60,5.78,11.42
66,Coquimbo,-29.95,-71.34,90,CL,1566660003,81,4.1,12.0
67,Ozimek,50.68,18.21,0,PL,1566660005,41,5.7,27.22
68,Ponta do Sol,-20.63,-46.0,0,BR,1566660159,30,1.64,24.62
69,Kralendijk,12.15,-68.27,0,BQ,1566660005,70,7.7,31.0
70,Yellowknife,62.45,-114.38,90,CA,1566659982,93,4.6,11.0
71,Le Vauclin,14.55,-60.84,75,MQ,1566660006,74,6.7,30.0
72,Olinda,-37.84,145.39,40,AU,1566660160,81,5.1,9.44
73,Agirish,61.92,63.02,85,RU,1566660006,86,4.05,12.72
74,Vaini,15.34,74.49,20,IN,1566660006,88,2.6,24.0
75,Hilo,19.71,-155.08,90,US,1566659914,64,2.6,24.0
76,Atuona,-9.8,-139.03,7,PF,1566660014,72,6.62,25.72
77,Nome,30.04,-94.42,75,US,1566660007,78,2.6,28.89
78,Puerto Escondido,15.86,-97.07,20,MX,1566660007,69,0.5,28.0
79,Kaitangata,-46.28,169.85,57,NZ,1566660161,68,1.79,6.67
80,Bethel,60.79,-161.76,1,US,1566660161,93,3.6,9.0
81,Hobart,-42.88,147.33,75,AU,1566660008,70,8.2,7.0
82,Karabash,55.49,60.21,0,RU,1566660008,84,2.25,12.42
83,Dali,34.79,109.94,44,CN,1566660162,61,5.14,25.92
84,Esperance,-33.86,121.89,75,AU,1566659977,75,2.6,8.0
85,Rocha,-34.48,-54.34,92,UY,1566660162,62,3.88,13.82
86,Road Town,18.42,-64.62,40,VG,1566660126,70,7.17,31.0
87,Georgetown,6.8,-58.16,40,GY,1566659987,74,4.1,31.0
88,Mason City,43.15,-93.2,40,US,1566660009,72,3.6,20.0
89,Bandarbeyla,9.49,50.81,100,SO,1566660162,42,9.78,31.52
90,Hermanus,-34.42,19.24,0,ZA,1566660009,83,1.79,18.33
91,Helmsdale,58.12,-3.65,0,GB,1566660009,60,3.1,21.0
92,Petrov Val,50.14,45.21,1,RU,1566660009,54,3.34,25.02
93,Fortuna,40.6,-124.16,90,US,1566660004,100,2.1,13.89
94,Padang,-0.92,100.36,83,ID,1566660163,82,7.44,27.22
95,San Quintin,17.54,120.52,100,PH,1566660001,88,2.33,24.22
96,Hasaki,35.73,140.83,75,JP,1566660163,94,1.5,24.0
97,Upernavik,72.79,-56.15,43,GL,1566660164,64,3.98,5.82
98,Umm Kaddadah,13.6,26.69,34,SD,1566660010,38,3.62,31.42
99,Grindavik,63.84,-22.43,20,IS,1566660010,76,3.6,13.0
100,Dukat,40.25,19.57,38,AL,1566660011,46,1.34,31.11
101,Chokurdakh,70.62,147.9,88,RU,1566659997,64,2.58,12.62
102,Faanui,-16.48,-151.75,61,PF,1566659984,72,3.51,25.32
103,Andros Town,24.73,-77.79,40,BS,1566660011,79,6.2,30.0
104,Qaanaaq,77.48,-69.36,91,GL,1566660011,59,8.32,3.32
105,Guerrero Negro,27.97,-114.04,0,MX,1566660004,75,3.01,21.12
106,Rundu,-17.91,19.77,0,NA,1566660012,10,4.6,27.0
107,Biltine,14.53,20.93,7,TD,1566660012,38,0.45,33.42
108,Yermakovskoye,53.28,92.4,100,RU,1566660012,94,4.37,12.22
109,Tarakan,3.3,117.63,78,ID,1566660013,80,1.75,27.22
110,Cauquenes,-35.97,-72.32,77,CL,1566660013,57,1.01,16.22
111,San Antonio,-33.58,-71.61,39,CL,1566660013,62,1.0,18.0
112,Bharatpur,27.22,77.5,98,IN,1566660014,63,5.2,31.12
113,Cabo San Lucas,22.89,-109.91,40,MX,1566659918,94,2.6,29.44
114,Omboue,-1.57,9.26,80,GA,1566660014,86,4.91,24.42
115,Nemuro,43.32,145.57,15,JP,1566660014,96,0.61,15.72
116,Hambantota,6.12,81.12,75,LK,1566660166,100,2.1,27.0
117,Clyde River,70.47,-68.59,82,CA,1566660013,49,1.9,10.62
118,Iwanai,42.97,140.51,92,JP,1566660014,96,2.56,15.32
119,Jalu,29.03,21.55,0,LY,1566660111,15,2.09,37.42
120,Sur,22.57,59.53,0,OM,1566660039,57,2.27,29.92
121,Calama,-22.46,-68.93,0,CL,1566660015,6,4.1,19.0
122,Tuatapere,-46.13,167.69,73,NZ,1566660167,83,1.34,6.67
123,Nanortalik,60.14,-45.24,100,GL,1566659970,65,4.66,7.82
124,Kapaa,22.08,-159.32,90,US,1566659944,74,7.7,27.0
125,General Roca,-39.03,-67.58,0,AR,1566660016,66,1.5,13.0
126,Nkhata Bay,-11.61,34.3,63,MW,1566660016,45,3.65,21.62
127,Oktyabrskoye,56.73,85.44,20,RU,1566660016,82,4.0,18.33
128,Sambava,-14.27,50.17,100,MG,1566659733,69,1.33,21.32
129,Broome,52.47,1.45,0,GB,1566660016,39,4.6,28.33
130,Oda,35.19,132.5,100,JP,1566660017,76,7.33,25.42
131,Caarapo,-22.63,-54.82,0,BR,1566659842,28,3.85,26.52
132,Jerantut,3.94,102.37,76,MY,1566660017,95,0.75,22.42
